N,lnPi(N)
505,-83.56464590843551
506,-83.48165166324533
507,-83.40626961986484
508,-83.33804193452218
509,-83.28339977904847
510,-83.23558561756393
511,-83.19398392441828
512,-83.16514243060112
513,-83.13847695504413
514,-83.11351775979806
515,-83.09376726414585
516,-83.08821197343512
517,-83.09167238070128
518,-83.10746827083184
519,-83.12347750668063
520,-83.15413804550857
521,-83.20238962030281
522,-83.26716075528772
523,-83.33595014987159
524,-83.41969652555139
525,-83.51378497759417
526,-83.61598391275973
527,-83.71701516349653
528,-83.83193406579765
529,-83.97026398958769
530,-84.10751383509347
531,-84.25202251147148
532,-84.40399061102988
533,-84.57074514729617
534,-84.75524983911889
535,-84.95247613163704
536,-85.17058308631181
537,-85.39830312531983
538,-85.62656173383598
539,-85.86431736834795
540,-86.12018511159222
541,-86.39650040169461
542,-86.68197682301916
543,-86.97772407137344
544,-87.28077206242666
545,-87.60164433371935
546,-87.92064095449031
547,-88.27142140770799
548,-88.62817453795017
549,-89.00968783716665
550,-89.40310076293652
551,-89.8136656336771
552,-90.22916069519044
553,-90.66438695716475
554,-91.11342517275132
555,-91.57215369916518
556,-92.04443522776724
557,-92.52799965420878
558,-93.03275401747874
559,-93.5530928128088
560,-94.10913680777865
561,-94.6736376053399
562,-95.25472792710413
563,-95.86104555120919
564,-96.47365226647982
565,-97.1061517099275
566,-97.76091015654758
567,-98.4481165036499
568,-99.13332790600343
569,-99.82634684536804
570,-100.54577935297064
571,-101.27576488628578
572,-102.02388610961717
573,-102.78220488183962
574,-103.56373038252951
575,-104.36771078241269
576,-105.21063663647719
577,-106.0491504520373
578,-106.9092535324845
579,-107.78100724530272
580,-108.6884022936679
581,-109.622893324695
582,-110.58502333876545
583,-111.57741564289866
584,-112.55823906701438
585,-113.56859386710323
586,-114.60655595879358
587,-115.65188219956164
588,-116.72745677519683
589,-117.83088926024189
590,-118.9590493387282
591,-120.12287559391488
592,-121.29184201081566
593,-122.4581548741093
594,-123.66539838653485
595,-124.92196977661351
596,-126.19162142261993
597,-127.48031796647302
598,-128.81504773892502
599,-130.18463988522734
600,-131.55427582019132
601,-132.96127334149568
602,-134.37857086104663
603,-135.82123516323432
604,-137.29102335814213
605,-138.78444543284115
606,-140.30884600984496
607,-141.87132527921418
608,-143.46758541480307
609,-145.09729986641887
610,-146.72860880121723
611,-148.39307961087235
612,-150.10873243766147
613,-151.80807519533465
614,-153.55380268991757
615,-155.31672144255037
616,-157.12237167670457
617,-158.9452797525165
618,-160.8045438916036
619,-162.6780245039676
620,-164.57979275231295
621,-166.51695212675534
622,-168.50482501590054
623,-170.4979187822173
624,-172.50376216443598
625,-174.57730646259697
626,-176.692190236173
627,-178.83844300035545
628,-181.0031830824077
629,-183.21835530867978
630,-185.48632423273946
